"","NAME","AREA","PERIMETER","acres","Deed_Acres","Type","ShapeSourc","coords.x1","coords.x2"
"106","Abita Creek Flatwoods",41077745.622,51960.515307,998.352,"999","Preserve","Survey Plats, Updated 1/5/2018 according to B,Rivers Google Earth boundary drawings",-89.9588333982824,30.5217275779921
"107","Abita Creek Flatwoods",41077745.622,51960.515307,998.352,"999","Preserve","Survey Plats, Updated 1/5/2018 according to B,Rivers Google Earth boundary drawings",-89.9730368938187,30.523120924699
"108","Abita Creek Flatwoods",41077745.622,51960.515307,998.352,"999","Preserve","Survey Plats, Updated 1/5/2018 according to B,Rivers Google Earth boundary drawings",-89.9712614568767,30.523120924699
"109","Abita Creek Flatwoods",41077745.622,51960.515307,998.352,"999","Preserve","Survey Plats, Updated 1/5/2018 according to B,Rivers Google Earth boundary drawings",-89.9694860199346,30.523120924699
"110","Abita Creek Flatwoods",41077745.622,51960.515307,998.352,"999","Preserve","Survey Plats, Updated 1/5/2018 according to B,Rivers Google Earth boundary drawings",-89.9677105829926,30.523120924699
"111","Abita Creek Flatwoods",41077745.622,51960.515307,998.352,"999","Preserve","Survey Plats, Updated 1/5/2018 according to B,Rivers Google Earth boundary drawings",-89.9659351460506,30.523120924699
"112","Abita Creek Flatwoods",41077745.622,51960.515307,998.352,"999","Preserve","Survey Plats, Updated 1/5/2018 according to B,Rivers Google Earth boundary drawings",-89.9641597091085,30.523120924699
"113","Abita Creek Flatwoods",41077745.622,51960.515307,998.352,"999","Preserve","Survey Plats, Updated 1/5/2018 according to B,Rivers Google Earth boundary drawings",-89.9623842721665,30.523120924699
"114","Abita Creek Flatwoods",41077745.622,51960.515307,998.352,"999","Preserve","Survey Plats, Updated 1/5/2018 according to B,Rivers Google Earth boundary drawings",-89.9606088352244,30.523120924699
"115","Abita Creek Flatwoods",41077745.622,51960.515307,998.352,"999","Preserve","Survey Plats, Updated 1/5/2018 according to B,Rivers Google Earth boundary drawings",-89.9730368938187,30.5245142714058
"116","Abita Creek Flatwoods",41077745.622,51960.515307,998.352,"999","Preserve","Survey Plats, Updated 1/5/2018 according to B,Rivers Google Earth boundary drawings",-89.9712614568767,30.5245142714058
"117","Abita Creek Flatwoods",41077745.622,51960.515307,998.352,"999","Preserve","Survey Plats, Updated 1/5/2018 according to B,Rivers Google Earth boundary drawings",-89.9694860199346,30.5245142714058
"118","Abita Creek Flatwoods",41077745.622,51960.515307,998.352,"999","Preserve","Survey Plats, Updated 1/5/2018 according to B,Rivers Google Earth boundary drawings",-89.9677105829926,30.5245142714058
"119","Abita Creek Flatwoods",41077745.622,51960.515307,998.352,"999","Preserve","Survey Plats, Updated 1/5/2018 according to B,Rivers Google Earth boundary drawings",-89.9659351460506,30.5245142714058
"120","Abita Creek Flatwoods",41077745.622,51960.515307,998.352,"999","Preserve","Survey Plats, Updated 1/5/2018 according to B,Rivers Google Earth boundary drawings",-89.9641597091085,30.5245142714058
"121","Abita Creek Flatwoods",41077745.622,51960.515307,998.352,"999","Preserve","Survey Plats, Updated 1/5/2018 according to B,Rivers Google Earth boundary drawings",-89.9623842721665,30.5245142714058
"122","Abita Creek Flatwoods",41077745.622,51960.515307,998.352,"999","Preserve","Survey Plats, Updated 1/5/2018 according to B,Rivers Google Earth boundary drawings",-89.9606088352244,30.5245142714058
"123","Abita Creek Flatwoods",41077745.622,51960.515307,998.352,"999","Preserve","Survey Plats, Updated 1/5/2018 according to B,Rivers Google Earth boundary drawings",-89.9588333982824,30.5245142714058
"124","Abita Creek Flatwoods",41077745.622,51960.515307,998.352,"999","Preserve","Survey Plats, Updated 1/5/2018 according to B,Rivers Google Earth boundary drawings",-89.9730368938187,30.5259076181126
"125","Abita Creek Flatwoods",41077745.622,51960.515307,998.352,"999","Preserve","Survey Plats, Updated 1/5/2018 according to B,Rivers Google Earth boundary drawings",-89.9712614568767,30.5259076181126
"126","Abita Creek Flatwoods",41077745.622,51960.515307,998.352,"999","Preserve","Survey Plats, Updated 1/5/2018 according to B,Rivers Google Earth boundary drawings",-89.9694860199346,30.5259076181126
"127","Abita Creek Flatwoods",41077745.622,51960.515307,998.352,"999","Preserve","Survey Plats, Updated 1/5/2018 according to B,Rivers Google Earth boundary drawings",-89.9677105829926,30.5259076181126
"128","Abita Creek Flatwoods",41077745.622,51960.515307,998.352,"999","Preserve","Survey Plats, Updated 1/5/2018 according to B,Rivers Google Earth boundary drawings",-89.9659351460506,30.5259076181126
"129","Abita Creek Flatwoods",41077745.622,51960.515307,998.352,"999","Preserve","Survey Plats, Updated 1/5/2018 according to B,Rivers Google Earth boundary drawings",-89.9641597091085,30.5259076181126
"130","Abita Creek Flatwoods",41077745.622,51960.515307,998.352,"999","Preserve","Survey Plats, Updated 1/5/2018 according to B,Rivers Google Earth boundary drawings",-89.9623842721665,30.5259076181126
"131","Abita Creek Flatwoods",41077745.622,51960.515307,998.352,"999","Preserve","Survey Plats, Updated 1/5/2018 according to B,Rivers Google Earth boundary drawings",-89.9606088352244,30.5259076181126
"132","Abita Creek Flatwoods",41077745.622,51960.515307,998.352,"999","Preserve","Survey Plats, Updated 1/5/2018 according to B,Rivers Google Earth boundary drawings",-89.9588333982824,30.5259076181126
"133","Abita Creek Flatwoods",41077745.622,51960.515307,998.352,"999","Preserve","Survey Plats, Updated 1/5/2018 according to B,Rivers Google Earth boundary drawings",-89.981914078529,30.5273009648195
"134","Abita Creek Flatwoods",41077745.622,51960.515307,998.352,"999","Preserve","Survey Plats, Updated 1/5/2018 according to B,Rivers Google Earth boundary drawings",-89.9801386415869,30.5273009648195
"135","Abita Creek Flatwoods",41077745.622,51960.515307,998.352,"999","Preserve","Survey Plats, Updated 1/5/2018 according to B,Rivers Google Earth boundary drawings",-89.9783632046449,30.5273009648195
"136","Abita Creek Flatwoods",41077745.622,51960.515307,998.352,"999","Preserve","Survey Plats, Updated 1/5/2018 according to B,Rivers Google Earth boundary drawings",-89.9765877677028,30.5273009648195
"137","Abita Creek Flatwoods",41077745.622,51960.515307,998.352,"999","Preserve","Survey Plats, Updated 1/5/2018 according to B,Rivers Google Earth boundary drawings",-89.9748123307608,30.5273009648195
"138","Abita Creek Flatwoods",41077745.622,51960.515307,998.352,"999","Preserve","Survey Plats, Updated 1/5/2018 according to B,Rivers Google Earth boundary drawings",-89.9801386415869,30.5286943115263
"139","Abita Creek Flatwoods",41077745.622,51960.515307,998.352,"999","Preserve","Survey Plats, Updated 1/5/2018 according to B,Rivers Google Earth boundary drawings",-89.9783632046449,30.5286943115263
"140","Abita Creek Flatwoods",41077745.622,51960.515307,998.352,"999","Preserve","Survey Plats, Updated 1/5/2018 according to B,Rivers Google Earth boundary drawings",-89.9765877677028,30.5286943115263
"141","Abita Creek Flatwoods",41077745.622,51960.515307,998.352,"999","Preserve","Survey Plats, Updated 1/5/2018 according to B,Rivers Google Earth boundary drawings",-89.9748123307608,30.5286943115263
"142","Abita Creek Flatwoods",41077745.622,51960.515307,998.352,"999","Preserve","Survey Plats, Updated 1/5/2018 according to B,Rivers Google Earth boundary drawings",-89.9765877677028,30.5300876582331
"143","Abita Creek Flatwoods",41077745.622,51960.515307,998.352,"999","Preserve","Survey Plats, Updated 1/5/2018 according to B,Rivers Google Earth boundary drawings",-89.9748123307608,30.5300876582331
